district,block,village_name,village_code
Cuttack,Cuttack Sadar,ଅଇନପୁର,0310054
Cuttack,Cuttack Sadar,ଅରଛିଲ,0310026
Cuttack,Cuttack Sadar,ଅରିଲୋ,0310016
Cuttack,Cuttack Sadar,ଅସଲାପୁର,0310091
Cuttack,Cuttack Sadar,ଆର୍ତ୍ତକ,0310096
Cuttack,Cuttack Sadar,ଇସାଣିବରହମପୁର,0310061
Cuttack,Cuttack Sadar,ଉତ୍ତରକୂଳ,0310065
Cuttack,Cuttack Sadar,ଉଦେପୁର,0310093
Cuttack,Cuttack Sadar,ଓରିକଣ୍ଟା,0310070
Cuttack,Cuttack Sadar,ଓଡ଼କିମିରା,0310090
Cuttack,Cuttack Sadar,ଓଡ଼ଖଣ୍ଡ,0310074
Cuttack,Cuttack Sadar,ଓଡ଼ପଡ଼ା,0310027
Cuttack,Cuttack Sadar,କଅଁପୁର,0310064
Cuttack,Cuttack Sadar,କମରପଦା,0310019
Cuttack,Cuttack Sadar,କଲରାବାଙ୍କ,0310045
Cuttack,Cuttack Sadar,କାଳିକାପୁର,0310104
Cuttack,Cuttack Sadar,କୁରୁଳି,0310101
Cuttack,Cuttack Sadar,କୁଳସମିତଙ୍ଗା,0310097
Cuttack,Cuttack Sadar,କେଶନଗର,0310001
Cuttack,Cuttack Sadar,କେଶପୁର,0310043
Cuttack,Cuttack Sadar,କୋଟୁଆଁ,0310025
Cuttack,Cuttack Sadar,କୋସିଦା,0310013
Cuttack,Cuttack Sadar,ଖେଣ୍ଟାଳୋ,0310062
Cuttack,Cuttack Sadar,ଗଙ୍ଗାପୁର,0310092
Cuttack,Cuttack Sadar,ଗୁଆଳି,0310108
Cuttack,Cuttack Sadar,ଗୋଠମିରା,0310111
Cuttack,Cuttack Sadar,ଚମ୍ପା,0310071
Cuttack,Cuttack Sadar,ଚାଞ୍ଚପଡା,0310007
Cuttack,Cuttack Sadar,ଜଗନ୍ନାଥପୁର,0310032
Cuttack,Cuttack Sadar,ଜାହାନପୁର,0310052
Cuttack,Cuttack Sadar,ତରତୋ,0310110
Cuttack,Cuttack Sadar,ତରିଲୋ,0310022
Cuttack,Cuttack Sadar,ତରଡ଼ାପଡ଼ା,0310031
Cuttack,Cuttack Sadar,ତେଲଦିଆ,0310024
Cuttack,Cuttack Sadar,ତୋଟାପଡ଼ା,0310095
Cuttack,Cuttack Sadar,ଥୋରିଆପଡ଼ା,0310044
Cuttack,Cuttack Sadar,ଦକ୍ଷିଣସାଇଲୋ,0310048
Cuttack,Cuttack Sadar,ଦୁଲପୁର,0310081
Cuttack,Cuttack Sadar,ଦୋନ୍ଦୋ,0310098
Cuttack,Cuttack Sadar,ଧରୀଣା,0310029
Cuttack,Cuttack Sadar,ଧାରୀବୀଲ,0310076
Cuttack,Cuttack Sadar,ନାନପୁର,0310039
Cuttack,Cuttack Sadar,ନାରଦାଗଉଡଗାଁ,0310037
Cuttack,Cuttack Sadar,ନୁଆଗାଁ,0310055
Cuttack,Cuttack Sadar,ନୂଆଗାଁ,0310017
Cuttack,Cuttack Sadar,ପରମାନନ୍ଦପୁର,0310051
Cuttack,Cuttack Sadar,ପାଇକସାହି,0310028
Cuttack,Cuttack Sadar,ପାଇକାଣ,0310040
Cuttack,Cuttack Sadar,ପାଟେଳିଗାଁ,0310087
Cuttack,Cuttack Sadar,ପାଣିମାଣ୍ଡୋ,0310088
Cuttack,Cuttack Sadar,ପାରାବିଲ,0310112
Cuttack,Cuttack Sadar,ପାରୀକୁସୁମଣ୍ଡଳ,0310080
Cuttack,Cuttack Sadar,ପୀଁପୁର,0310079
Cuttack,Cuttack Sadar,ପୁରୁଣାହାଟ,0310106
Cuttack,Cuttack Sadar,ପ୍ରହରାଜପୁର,0310030
Cuttack,Cuttack Sadar,ଫୁଲରା,0310035
Cuttack,Cuttack Sadar,ବରହମପୁର,0310050
Cuttack,Cuttack Sadar,ବରିମୁଣ୍ଡା,0310018
Cuttack,Cuttack Sadar,ବସ୍ତପଡା,0310020
Cuttack,Cuttack Sadar,ବାଙ୍କୋଳ,0310059
Cuttack,Cuttack Sadar,ବାବୁଜଙ୍ଗ,0310068
Cuttack,Cuttack Sadar,ବାରଦା,0310009
Cuttack,Cuttack Sadar,ବାରିମୁଳ,0310082
Cuttack,Cuttack Sadar,ବାଲିସୁକୁରୀ,0310010
Cuttack,Cuttack Sadar,ବିରିବନ୍ଧ,0310073
Cuttack,Cuttack Sadar,ବିଶ୍ଵନାଥପୁର,0310085
Cuttack,Cuttack Sadar,ବିଶ୍ଵାଳପଡ଼ା,0310004
Cuttack,Cuttack Sadar,ବୁରୁଡ଼ା,0310107
Cuttack,Cuttack Sadar,ବେଣୀପୁର,0310005
Cuttack,Cuttack Sadar,ବେଲେରା,0310102
Cuttack,Cuttack Sadar,ବୋଇଲୋ,0310103
Cuttack,Cuttack Sadar,ବୋଦର,0310056
Cuttack,Cuttack Sadar,ବୋଧଗାଁ,0310069
Cuttack,Cuttack Sadar,ବୋଧପୁର,0310041
Cuttack,Cuttack Sadar,ବ୍ରାହ୍ମଣଖଣ୍ଡ,0310063
Cuttack,Cuttack Sadar,ବ୍ରାହ୍ମଣଭୂଇଁ,0310058
Cuttack,Cuttack Sadar,ଭୁଇଁସାଇଲୋ,0310072
Cuttack,Cuttack Sadar,ଭୋଇପଡା,0310003
Cuttack,Cuttack Sadar,ମଙ୍ଗଦେଇପୁର,0310034
Cuttack,Cuttack Sadar,ମଣିଜଙ୍ଗ,0310075
Cuttack,Cuttack Sadar,ମଲିପୁର,0310042
Cuttack,Cuttack Sadar,ମହମଦପୁର,0310083
Cuttack,Cuttack Sadar,ମାଣପୁର,0310047
Cuttack,Cuttack Sadar,ମାହାଙ୍ଗାରଘୁନାଥପୁର,0310036
Cuttack,Cuttack Sadar,ମୁଗୁରିଆ,0310078
Cuttack,Cuttack Sadar,ମୁରୁକୁଣ୍ଡି,0310109
Cuttack,Cuttack Sadar,ମୁର୍ଗାକୁଳ,0310113
Cuttack,Cuttack Sadar,ମୁଳପଇଦା,0310038
Cuttack,Cuttack Sadar,ମେହେନ୍ଦିପୁର,0310066
Cuttack,Cuttack Sadar,ଯଶପଡ଼ା,0310012
Cuttack,Cuttack Sadar,ରଟିଲୋ,0310100
